id,patient_text,relative_text,severity
001,I feel disconnected from people,Behavior appears normal,10
002,I feel worried about everything,Mood fluctuates frequently,2
003,I feel anxious most of the day,Seems happy and social,9
004,I feel fine and stable,Seems happy and social,1
005,I feel tired and hopeless,Mood fluctuates frequently,4
006,I feel fine and stable,Actively interacts with family,10
007,I feel disconnected from people,Behavior appears normal,8
008,I feel disconnected from people,Mood fluctuates frequently,1
009,I feel worried about everything,Actively interacts with family,9
010,I feel stressed and overwhelmed,She seems withdrawn and quiet,6
011,I feel worried about everything,Behavior appears normal,1
012,I feel stressed and overwhelmed,Behavior appears normal,10
013,I feel motivated and energetic,No major change noticed,8
014,I feel calm and normal,She seems withdrawn and quiet,10
015,I feel stressed and overwhelmed,Appears emotionally distant,6
016,I feel disconnected from people,Shows signs of irritability,5
017,I feel worried about everything,Seems happy and social,6
018,I feel emotionally numb,Behavior appears normal,3
019,I feel worried about everything,Seems happy and social,10
020,I feel worried about everything,Seems happy and social,6
021,I feel tired and hopeless,Appears emotionally distant,4
022,I feel calm and normal,No major change noticed,8
023,I feel tired and hopeless,No major change noticed,5
024,I feel stressed and overwhelmed,Mood fluctuates frequently,6
025,I feel emotionally numb,Seems happy and social,10
026,I feel motivated and energetic,Mood fluctuates frequently,2
027,I feel anxious most of the day,Shows signs of irritability,6
028,I feel stressed and overwhelmed,Appears emotionally distant,6
029,I feel emotionally numb,She seems withdrawn and quiet,10
030,I feel sad without any clear reason,Seems happy and social,5
031,I feel worried about everything,He avoids family and sleeps a lot,9
032,I feel sad without any clear reason,He avoids family and sleeps a lot,5
033,I feel worried about everything,She seems withdrawn and quiet,9
034,I feel tired and hopeless,Behavior appears normal,2
035,I feel calm and normal,Appears emotionally distant,10
036,I feel fine and stable,Shows signs of irritability,3
037,I feel emotionally numb,Often prefers to stay alone,7
038,I feel calm and normal,She seems withdrawn and quiet,10
039,I feel anxious most of the day,Often prefers to stay alone,3
040,I feel anxious most of the day,He avoids family and sleeps a lot,7
041,I feel worried about everything,Appears emotionally distant,8
042,I feel tired and hopeless,She seems withdrawn and quiet,3
043,I feel stressed and overwhelmed,Actively interacts with family,1
044,I feel emotionally numb,Appears emotionally distant,3
045,I feel stressed and overwhelmed,No major change noticed,5
046,I feel emotionally numb,She seems withdrawn and quiet,9
047,I feel stressed and overwhelmed,No major change noticed,4
048,I feel motivated and energetic,Seems happy and social,6
049,I feel fine and stable,No major change noticed,6
050,I feel anxious most of the day,Actively interacts with family,5
051,I feel fine and stable,Actively interacts with family,7
052,I feel calm and normal,He avoids family and sleeps a lot,9
053,I feel fine and stable,Mood fluctuates frequently,5
054,I feel emotionally numb,Often prefers to stay alone,7
055,I feel fine and stable,Often prefers to stay alone,8
056,I feel fine and stable,Behavior appears normal,4
057,I feel motivated and energetic,No major change noticed,8
058,I feel motivated and energetic,Mood fluctuates frequently,2
059,I feel disconnected from people,Often prefers to stay alone,9
060,I feel anxious most of the day,Shows signs of irritability,10
061,I feel motivated and energetic,She seems withdrawn and quiet,8
062,I feel stressed and overwhelmed,Appears emotionally distant,9
063,I feel sad without any clear reason,Often prefers to stay alone,1
064,I feel calm and normal,She seems withdrawn and quiet,2
065,I feel fine and stable,Shows signs of irritability,10
066,I feel disconnected from people,Actively interacts with family,9
067,I feel worried about everything,Seems happy and social,3
068,I feel motivated and energetic,Appears emotionally distant,6
069,I feel worried about everything,She seems withdrawn and quiet,10
070,I feel anxious most of the day,Behavior appears normal,9
071,I feel fine and stable,Often prefers to stay alone,5
072,I feel worried about everything,Appears emotionally distant,10
073,I feel stressed and overwhelmed,No major change noticed,3
074,I feel disconnected from people,Actively interacts with family,4
075,I feel emotionally numb,Seems happy and social,3
076,I feel disconnected from people,Mood fluctuates frequently,4
077,I feel anxious most of the day,Seems happy and social,8
078,I feel emotionally numb,Seems happy and social,9
079,I feel emotionally numb,Appears emotionally distant,6
080,I feel fine and stable,No major change noticed,4
081,I feel fine and stable,Often prefers to stay alone,3
082,I feel emotionally numb,He avoids family and sleeps a lot,4
083,I feel tired and hopeless,He avoids family and sleeps a lot,9
084,I feel stressed and overwhelmed,No major change noticed,10
085,I feel anxious most of the day,Actively interacts with family,10
086,I feel fine and stable,Mood fluctuates frequently,7
087,I feel fine and stable,He avoids family and sleeps a lot,9
088,I feel sad without any clear reason,Actively interacts with family,3
089,I feel emotionally numb,Mood fluctuates frequently,8
090,I feel emotionally numb,Behavior appears normal,1
091,I feel worried about everything,Behavior appears normal,2
092,I feel fine and stable,Seems happy and social,8
093,I feel sad without any clear reason,Mood fluctuates frequently,3
094,I feel stressed and overwhelmed,Mood fluctuates frequently,2
095,I feel sad without any clear reason,Shows signs of irritability,9
096,I feel emotionally numb,She seems withdrawn and quiet,5
097,I feel tired and hopeless,Often prefers to stay alone,8
098,I feel fine and stable,Shows signs of irritability,1
099,I feel disconnected from people,Often prefers to stay alone,10
100,I feel worried about everything,Actively interacts with family,7
101,I feel emotionally numb,Shows signs of irritability,9
102,I feel calm and normal,Seems happy and social,9
103,I feel worried about everything,Seems happy and social,10
104,I feel emotionally numb,Actively interacts with family,3
105,I feel fine and stable,She seems withdrawn and quiet,10
106,I feel fine and stable,Mood fluctuates frequently,1
107,I feel tired and hopeless,No major change noticed,9
108,I feel motivated and energetic,Behavior appears normal,6
109,I feel worried about everything,Behavior appears normal,9
110,I feel emotionally numb,Shows signs of irritability,7
111,I feel worried about everything,He avoids family and sleeps a lot,1
112,I feel stressed and overwhelmed,Appears emotionally distant,10
113,I feel worried about everything,She seems withdrawn and quiet,6
114,I feel sad without any clear reason,Shows signs of irritability,8
115,I feel calm and normal,Appears emotionally distant,6
116,I feel anxious most of the day,No major change noticed,6
117,I feel tired and hopeless,Shows signs of irritability,1
118,I feel worried about everything,Often prefers to stay alone,2
119,I feel sad without any clear reason,Behavior appears normal,4
120,I feel disconnected from people,No major change noticed,6
121,I feel worried about everything,He avoids family and sleeps a lot,2
122,I feel sad without any clear reason,Often prefers to stay alone,10
123,I feel anxious most of the day,Mood fluctuates frequently,2
124,I feel calm and normal,He avoids family and sleeps a lot,3
125,I feel tired and hopeless,She seems withdrawn and quiet,8
126,I feel stressed and overwhelmed,Actively interacts with family,6
127,I feel fine and stable,Appears emotionally distant,10
128,I feel disconnected from people,Often prefers to stay alone,1
129,I feel motivated and energetic,Mood fluctuates frequently,8
130,I feel calm and normal,Shows signs of irritability,6
131,I feel worried about everything,Seems happy and social,9
132,I feel calm and normal,Mood fluctuates frequently,7
133,I feel anxious most of the day,No major change noticed,1
134,I feel worried about everything,Seems happy and social,2
135,I feel worried about everything,She seems withdrawn and quiet,7
136,I feel calm and normal,Mood fluctuates frequently,8
137,I feel emotionally numb,He avoids family and sleeps a lot,1
138,I feel disconnected from people,Shows signs of irritability,4
139,I feel stressed and overwhelmed,Appears emotionally distant,10
140,I feel motivated and energetic,No major change noticed,7
141,I feel worried about everything,She seems withdrawn and quiet,3
142,I feel calm and normal,Often prefers to stay alone,6
143,I feel worried about everything,No major change noticed,3
144,I feel fine and stable,No major change noticed,2
145,I feel motivated and energetic,Often prefers to stay alone,8
146,I feel sad without any clear reason,Mood fluctuates frequently,5
